Mun_ID,nome,Area_Mun,X_Centroid_Pixel,Y_Centroid_Pixel,ID_Pixel,area_intersect_pixel_in_mun
178,Colatina,1398217775.94682,-40.4500000000008,-19.6000000000001,49148,29033357.2037139
178,Colatina,1398217775.94682,-40.4000000000008,-19.6000000000001,49149,27353175.8671051
178,Colatina,1398217775.94682,-40.3500000000008,-19.6000000000001,49150,549984.048787213
178,Colatina,1398217775.94682,-40.6500000000008,-19.6000000000001,49144,28945736.3473832
178,Colatina,1398217775.94682,-40.6000000000008,-19.6000000000001,49145,29033357.2036964
178,Colatina,1398217775.94682,-40.6500000000008,-19.4000000000001,47832,22203687.9293974
178,Colatina,1398217775.94682,-40.5500000000008,-19.6000000000001,49146,29033357.2036964
178,Colatina,1398217775.94682,-40.5000000000008,-19.6000000000001,49147,29033357.2036964
178,Colatina,1398217775.94682,-40.8500000000008,-19.6000000000001,49140,13900132.3321352
178,Colatina,1398217775.94682,-40.8000000000008,-19.6000000000001,49141,10754574.452494
178,Colatina,1398217775.94682,-40.8500000000008,-19.4000000000001,47828,17214632.6997679
178,Colatina,1398217775.94682,-40.7500000000008,-19.6000000000001,49142,29002644.2659405
178,Colatina,1398217775.94682,-40.8000000000008,-19.4000000000001,47829,29068412.1719973
178,Colatina,1398217775.94682,-40.7000000000008,-19.6000000000001,49143,28822096.1208933
178,Colatina,1398217775.94682,-40.7500000000008,-19.4000000000001,47830,29068412.1719973
178,Colatina,1398217775.94682,-40.7000000000008,-19.4000000000001,47831,29068412.1719973
178,Colatina,1398217775.94682,-40.4500000000008,-19.6500000000001,49476,5833293.00230274
178,Colatina,1398217775.94682,-40.4000000000008,-19.6500000000001,49477,4608220.42978488
178,Colatina,1398217775.94682,-40.6500000000008,-19.6500000000001,49472,11169955.5119992
178,Colatina,1398217775.94682,-40.6000000000008,-19.6500000000001,49473,25469189.7992244
178,Colatina,1398217775.94682,-40.5500000000008,-19.6500000000001,49474,29024538.9934518
178,Colatina,1398217775.94682,-40.5000000000008,-19.6500000000001,49475,19301338.1945818
178,Colatina,1398217775.94682,-40.8500000000008,-19.5500000000001,48812,2578645.96200827
178,Colatina,1398217775.94682,-40.8000000000008,-19.5500000000001,48813,28712818.5010571
178,Colatina,1398217775.94682,-40.8500000000008,-19.3500000000001,47500,4.48549096577192
178,Colatina,1398217775.94682,-40.7500000000008,-19.5500000000001,48814,29042153.6319901
178,Colatina,1398217775.94682,-40.8000000000008,-19.3500000000001,47501,25121538.4934398
178,Colatina,1398217775.94682,-40.6500000000008,-19.4500000000001,48160,27651582.8827513
178,Colatina,1398217775.94682,-40.7000000000008,-19.5500000000001,48815,29042153.6319901
