inmet;omm;cidade;tipo
83037;83037;Coronel Pacheco;Convencional
83538;83538;Diamantina;Convencional
83595;83595;Aimores;Convencional
83642;83642;Vicosa;Convencional
83689;83689;Barbacena;Convencional
A503;None;Carangola;Automatica
