ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,Municipio Codigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude,Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
2041023,5,"Atlântico,Trecho Leste",56,Rio Doce,18001000,Afonso Cláudio,Afonso Claúdio - Montante,Pluviomêtrica,-20.0786,-41.1214,300,1967,2019,2
2041024,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18037000,Muniz Freire,Terra Corrida (Dnos),Pluviomêtrica,-20.4333,-41.4833,578,1957,1968,1
2041030,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18030000,Iúna,Iúna,Pluviomêtrica,-20.3667,-41.5333,662,1948,1965,3
2041031,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18038000,Muqui,Muqui,Pluviomêtrica,-20.9667,-41.35,240,1951,1968,0
2041032,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18012000,Cachoeiro Do  Itapemirim,Pacotuba,Pluviomêtrica,-20.7833,-41.25,,1964,1968,0
2041036,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18019000,Domingos Martins,Alto Jucu,Pluviomêtrica,-20.3,-41.1,,1952,1968,0
2041045,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18012000,Cachoeiro Do  Itapemirim,Cachoeiro Do Itapemirim,Pluviomêtrica,-20.85,-41.1,78,1928,1992,10
2041047,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18012000,Cachoeiro Do  Itapemirim,Cachoeiro Do Itapemirim,Pluviomêtrica,-20.85,-41.1167,21,1928,1968,2
2041049,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18002000,Alegre,Alegre,Pluviomêtrica,-20.7667,-41.4667,138,1975,1997,33
2041050,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18037000,Muniz Freire,Muniz Freire,Pluviomêtrica,-20.4667,-41.4,530,1979,1998,0
2041051,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18050400,Venda Nova ,Venda Nova,Pluviomêtrica,-20.3167,-41.1667,750,1976,1998,15
2041055,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18014000,Castelo,Pch São João Jusante,Pluviomêtrica,-20.5728,-41.2356,100,2002,2018,2
2041056,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18017000,Conceição Do Castelo,Pch Viçosa Jusante,Pluviomêtrica,-20.4083,-41.2689,426,2002,2013,1
2041057,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18002000,Alegre,Pch Alegre Jusante,Pluviomêtrica,-20.7647,-41.5233,190,2002,2013,0
2041058,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18012000,Cachoeiro Do  Itapemirim,Pch Fruteiras Jusante,Pluviomêtrica,-20.7017,-41.0894,100,2003,2013,0
2140000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18028000,Itapemirim,Barra Do Itapemirim (Dnos),Pluviomêtrica,-21.0075,-40.8353,4,1947,2019,1
2141014,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18034000,Mimoso Do Sul,Ponte Do Itabapoana,Pluviomêtrica,-21.2061,-41.4628,59,1937,2019,0
2141015,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18034000,Mimoso Do Sul,Mimoso Do Sul,Pluviomêtrica,-21.0647,-41.3625,67,1964,2019,0
2141016,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18048000,São José Do Calçado,São José Do Calçado,Pluviomêtrica,-21.0169,-41.6628,150,1952,2019,1
2141017,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18034000,Mimoso Do Sul,São José Das Torres,Pluviomêtrica,-21.0731,-41.2383,120,1969,2019,2
2141098,5,"Atlântico,Trecho Leste",58,RIO PARAÍBA DO SUL,18011000,Bom Jesus Do Norte,Cesan,Pluviomêtrica,-21.1222,-41.6736,,2016,2018,16
