ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,Municipio Codigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude,Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
1941023,5,"Atlântico,Trecho Leste",56,Rio Doce,18008000,Baixo Guandú,Uhe Mascarenhas Montante 1,Pluviomêtrica,-19.5331,-41.0094,74,2002,2013,1
2040000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18019000,Domingos Martins,Domingos Martins (Dnos),Pluviomêtrica,-20.3639,-40.6617,452,1947,1999,1
2040001,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18051000,Viana,Fazenda Jucuruaba,Pluviomêtrica,-20.415,-40.4853,80,1951,2019,1
2040002,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18003000,Alfredo Chaves,Alfredo Chaves (Dnos),Pluviomêtrica,-20.6333,-40.75,100,1947,1980,0
2040003,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18050000,Serra,Fazenda Fonte Limpa (Dnos),Pluviomêtrica,-20.1903,-40.3189,70,1947,2019,2
2040004,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18024000,Guarapari,Guarapari (Dnos),Pluviomêtrica,-20.6522,-40.5086,6,1947,2019,3
2040005,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18026000,Iconha,Iconha - Montante,Pluviomêtrica,-20.7836,-40.8258,25,1947,2019,1
2040006,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18028000,Itapemirim,Usina Paineiras,Pluviomêtrica,-20.9528,-40.9533,40,1947,2019,0
2040007,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18045400,Santa Maria De Jetibá,Santa Maria Do Jetibá,Pluviomêtrica,-20.0281,-40.7442,710,1947,2019,1
2040008,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18045000,Santa Leopoldina,Garrafão (Dnos),Pluviomêtrica,-20.1433,-40.9753,940,1947,2019,1
2040009,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18004000,Anchieta,Anchieta (Dnos),Pluviomêtrica,-20.8036,-40.6556,6,1948,2019,0
2040010,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18045000,Santa Leopoldina,Santa Leopoldina,Pluviomêtrica,-20.1003,-40.5278,160,1949,2019,1
2040011,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18003000,Alfredo Chaves,Matilde (Dnos),Pluviomêtrica,-20.5567,-40.8114,515,1949,2019,1
2040012,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18019000,Domingos Martins,Marechal Floriano (Dnos),Pluviomêtrica,-20.4119,-40.6822,544,1949,2019,0
2040013,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18044000,Rio Novo Do Sul,Rio Novo Do Sul,Pluviomêtrica,-20.88111111,-40.94333333,80,1969,2010,1
2040014,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18013000,Cariacica,Duas Bocas (Dnos),Pluviomêtrica,-20.2614,-40.4792,200,1952,2019,10
2040015,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18019000,Domingos Martins,Perobinha (Dnos),Pluviomêtrica,-20.2836,-40.7831,640,1971,2017,0
2040016,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18052000,Vila Velha,São Torquato (Dnos),Pluviomêtrica,-20.3333,-40.2833,3,1971,1977,0
2040017,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18026000,Iconha,Duas Barras (Dnos),Pluviomêtrica,-20.7281,-40.8825,,1957,2019,0
2040018,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18045000,Santa Leopoldina,Cachoeira Suiça (Dnos),Pluviomêtrica,-20.0794,-40.6067,,1959,2019,0
2040019,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18019000,Domingos Martins,Granja São Jerônimo (Dnos),Pluviomêtrica,-20.3833,-40.7167,540,1962,1983,3
2040020,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18003000,Alfredo Chaves,Vila Nova Maravilha,Pluviomêtrica,-20.5875,-40.9492,980,1964,2019,1
2040021,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18053000,Vitória,Vitória - Bento Ferreira,Pluviomêtrica,-20.3,-40.3333,30,1969,1977,1
2040022,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18052000,Vila Velha,Ponta Da Fruta,Pluviomêtrica,-20.5156,-40.3636,3,1970,2019,1
2040023,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18019000,Domingos Martins,São Rafael,Pluviomêtrica,-20.2964,-40.9339,818,1970,2019,0
2040024,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18053000,Vitória,Porto Do Tubarão,Pluviomêtrica,-20.2833,-40.2333,4,1970,1980,0
2040026,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18053000,Vitória,Vitória (Escola De Engenharia),Pluviomêtrica,-20.2833,-40.3,8,1955,1968,8
