ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,RioCodigo,Rio Nome,MunicipioCodigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude (m),Area Drenagem (km2),Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
56994502,5,"Atlântico,Trecho Leste",56,Rio Doce,56001000,Rio Doce,18015000,Colatina,Colatina - Jusante,Fluviométrica,-19.5333333333333,-40.6333333333333,,76400,1976,1983,1
56994510,5,"Atlântico,Trecho Leste",56,Rio Doce,56001000,Rio Doce,18015000,Colatina,Colatina Corpo De Bombeiros,Fluviométrica,-19.5303,-40.6236,40,76400,1985,2014,3
56995000,5,"Atlântico,Trecho Leste",56,Rio Doce,56564000,Rio Pancas,18015000,Colatina,Cachoeira Do Oito,Fluviométrica,-19.4333,-40.6167,,1160,1944,1966,0
56995500,5,"Atlântico,Trecho Leste",56,Rio Doce,56564000,Rio Pancas,18015000,Colatina,Ponte Do Pancas,Fluviométrica,-19.4228,-40.6864,107,920,1965,2019,2
56998000,5,"Atlântico,Trecho Leste",56,Rio Doce,56001000,Rio Doce,18032000,Linhares,Linhares,Fluviométrica,-19.4075,-40.0639,,82100,1967,1994,7
56998200,5,"Atlântico,Trecho Leste",56,Rio Doce,56001000,Rio Doce,18032000,Linhares,Linhares Cais Do Porto,Fluviométrica,-19.4153,-40.0756,,82100,2019,2019,100
56998400,5,"Atlântico,Trecho Leste",56,Rio Doce,56575000,Rio São José,18047000,São Gabriel Da Palha,Barra De São Gabriel,Fluviométrica,-19.0411,-40.5339,54,1070,1967,2019,6
57040000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57100000,Rio Timbui,18046000,Santa Teresa,Santa Teresa,Fluviométrica,-19.9361,-40.5919,,43,1956,1969,1
57040005,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57100000,Rio Timbui,18046000,Santa Teresa,Valsugana Velha,Fluviométrica,-19.9706,-40.5308,675,94,1960,1973,0
57040008,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57100000,Rio Timbui,18046000,Santa Teresa,Valsugana Velha Montante,Fluviométrica,-19.9642,-40.5417,850,88,1983,2019,1
57040010,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57100000,Rio Timbui,18046000,Santa Teresa,Valsugana Velha - Jusante,Fluviométrica,-19.9333,-40.6006,,96,1977,1982,27
57117000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57200000,Rio Santa Maria Da Vitória,18045400,Santa Maria De Jetibá,Pch Rio Bonito Montante 2,Fluviométrica,-20.1139,-40.8153,835,154,2013,2018,6
57118080,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57200000,Rio Santa Maria Da Vitória,18045400,Santa Maria De Jetibá,Pch Rio Bonito Montante 1,Fluviométrica,-20.0489,-40.7478,643,414,2003,2018,6
57119500,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57200000,Rio Santa Maria Da Vitória,18045400,Santa Maria De Jetibá,Pch Rio Bonito Jusante,Fluviométrica,-20.0572,-40.6175,432,673,2010,2018,10
57120000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57200000,Rio Santa Maria Da Vitória,18045000,Santa Leopoldina,Cachoeira Suiça,Fluviométrica,-20.0828,-40.5761,,832,1954,1965,22
57120080,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57200000,Rio Santa Maria Da Vitória,18045000,Santa Leopoldina,Uhe Suíça Jusante,Fluviométrica,-20.1019,-40.5153,18,1020,2002,2018,6
57130000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57200000,Rio Santa Maria Da Vitória,18045000,Santa Leopoldina,Santa Leopoldina,Fluviométrica,-20.0997,-40.5278,160,929,1949,2019,0
57170000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57320000,Rio Jucu - Braço Norte,18019000,Domingos Martins,Córrego Do Galo,Fluviométrica,-20.3164,-40.6517,580,980,1955,2019,0
57190000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57340000,Rio Jucu - Braço Sul,18019000,Domingos Martins,Marechal Floriano,Fluviométrica,-20.4108,-40.6764,580,321,1949,1990,13
57230000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57300000,Rio Jucu,18051000,Viana,Fazenda Jucuruaba,Fluviométrica,-20.415,-40.4853,80,1690,1968,2019,20
57250000,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",57360000,Rio Benevente,18003000,Alfredo Chaves,Matilde,Fluviométrica,-20.5569,-40.8119,525,206,1949,2019,0
