inmet;omm;cidade;tipo
83037;83037;CORONEL PACHECO;Convencional
83538;83538;DIAMANTINA;Convencional
83595;83595;AIMORES;Convencional
83642;83642;VICOSA;Convencional
83689;83689;BARBACENA;Convencional
A503;9999;Carangola;Automatica
