date,id,evap,relHum,solarRad,tempMax,tempMin,winSpeed
09/03/1980,1,5.35347706800668,67.5,26.533253199686,32.7,18.7,0.99999975
10/03/1980,1,4.96400232068797,67.5,24.0357667079669,32.6,18.6,0.99999975
11/03/1980,1,4.33533338588862,71.75,20.645017760527,31.3,19.4,0.99999975
12/03/1980,1,3.52238848163997,73,13.3630244141054,29.5,19.3,2.00000025
13/03/1980,1,2.35060700152219,79.25,9.11547949482305,28.7,20.6,0.99999975
14/03/1980,1,3.39763436650515,77.25,15.2032435817121,32.5,19.8,0.75
15/03/1980,1,3.5277852294144,76,16.6359777640192,30.3,20.4,0.75
16/03/1980,1,4.19426853301634,74,21.1808269856457,31.9,21.6,0.24999975
17/03/1980,1,3.89408765634652,77,20.5110925888745,30.8,18.2,0.24999975
18/03/1980,1,3.82080516711948,77,18.6616827922101,31.7,17.7,0.75
19/03/1980,1,4.06069301872384,73.5,19.9157189754532,30.9,20.3,0.75
20/03/1980,1,4.40273369375952,77.25,23.2168983535396,31.5,17.8,0.50000025
21/03/1980,1,4.76940212908229,76.75,24.8855072602945,32.8,16.3,0.75
22/03/1980,1,4.74146331060687,76,24.4986747274317,32.6,17.6,0.75
23/03/1980,1,4.53033496212077,76,24.2581062646575,33.3,19.2,0
24/03/1980,1,4.48940214993759,72.25,22.4226149839304,32.8,18.9,0.75
25/03/1980,1,4.46609990523747,74.25,23.9212627258461,32.4,16.5,0.50000025
26/03/1980,1,4.27088212096352,72.75,24.1121190021204,31.5,15.8,0.24999975
27/03/1980,1,4.32709373498856,71.25,23.5825442210251,33.5,16.6,0.24999975
28/03/1980,1,4.40456983241345,71,22.7691310658513,33.2,15,0.75
29/03/1980,1,3.90533679683691,70.5,21.6750518847803,34.6,16.6,0
30/03/1980,1,2.65259484344426,73.5,12.9214684386034,30.9,18.6,0.24999975
31/03/1980,1,3.47536055485261,80,17.102077539134,28.6,17.5,1.5
01/04/1980,1,3.46949521920749,75.25,18.4324191460088,29.9,16.9,0.50000025
02/04/1980,1,2.53033210538649,79.25,12.7328223318645,29.6,17.2,0.24999975
