Excel Data/Municipio ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,119,120,121,122,123,124,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,99
1/1/60,11.2610321,12.01144886,9.989307404,8.616235733,6.745453835,11.14727116,11.24050236,9.951383591,8.20212841,8.602163315,8.725763321,6.492445946,7.902572632,8.100840569,7.645782948,6.790173531,6.911425114,11.09715652,10.27242756,7.479687691,8.1572752,8.389245987,7.360177517,4.349874496,1.138801098,3.302384853,4.254951,5.666374207,6.990413189,8.118518829,9.207677841,14.05000019,10.63699341,7.795776367,6.834256649,9.768748283,10.59583473,10.9089222,10.84376335,7.671972752,8.159309387,8.507719994,3.643381834,2.239097834,0.943368912,1.26840806,1.457746029,3.558517933,7.684889317,9.764590263,10.31628036,13.07240295,16.59391212,15.17019749,13.93732929,9.450975418,7.84499836,8.052964211,10.66797066,10.72595596,10.26362514,7.345933437,8.391990662,8.688892365,8.058229446,6.204501152,3.538617134,3.532935858,4.302695274,6.706085682,11.35173035,11.59237862,13.75299454,13.81730175,14.19656086,16.05211449,14.29867744,12.56672955
2/1/60,2.809138298,2.774591923,2.457081795,2.011265516,2.453745365,3.007839918,2.720353365,2.451863289,2.218803167,2.156340599,1.792672276,1.340224624,1.909345746,2.026056528,2.419974089,2.314820051,2.318752289,3.122399807,2.653302908,2.37620163,2.383577585,2.006732464,1.636643052,1.013565302,0.409389228,0.782964349,1.382980108,2.033856153,2.377421141,2.421473026,2.39352417,3.709333658,3.404265165,3.327971697,3.189448357,3.673764229,3.55508256,3.210991859,2.688787699,2.57086134,2.536679983,2.348407745,1.463843942,1.090193987,0.572913587,0.419742763,0.532048523,1.442089081,2.67242074,3.040562391,2.692508936,3.276370049,3.686064243,3.576285839,3.499627352,3.449611425,3.522489786,3.556685686,3.814915895,3.148277998,2.878556967,2.631359339,2.706901312,2.756779432,2.750595093,2.583093166,1.645126939,1.794288993,2.071708202,2.618165016,3.808746815,3.413987398,3.566969633,3.298623323,3.268189192,3.297178745,3.077825785,2.815500498
3/1/60,5.946644306,5.838335514,4.892780781,4.527163982,5.743513584,5.351017475,5.629788876,5.239892006,4.393359661,4.542842388,4.68523407,3.834861755,5.287815571,6.022367477,6.219494343,5.807339191,5.959944725,5.418492794,5.418718815,4.593263149,4.638343811,4.715037823,4.291126728,3.101906538,0.858722925,2.432020426,3.371699572,4.075595379,6.311848164,6.374264717,6.661078453,4.990812302,4.607144833,4.214996338,3.562073469,4.332206726,4.850585461,5.474266052,5.68908596,4.803822041,4.8971982,5.042719364,2.858489752,1.619244933,0.650283039,0.801694572,0.991748214,1.963450313,5.342711449,6.835221767,6.901757717,8.591956139,4.610331535,4.726783752,5.195043087,4.320899487,3.900497913,4.091518879,4.923461914,5.56651926,5.608686924,4.880228996,5.293773174,5.269975662,4.89612627,3.635855436,1.96323204,1.866390944,2.055449486,3.112082243,7.045928001,7.149651051,8.102396011,8.515572548,4.0916996,4.869628429,4.897204876,4.75544548
4/1/60,1.578672528,1.633473754,1.488457918,1.665719509,1.570048451,1.575331569,1.5872823,1.546045184,1.452731013,1.655998111,1.754390955,1.427351475,1.857568502,2.031517506,2.011016369,1.874086499,1.75393188,1.59000051,1.560322404,1.433145881,1.667323947,1.848752856,1.739521503,1.402468204,0.45290634,0.791660249,1.089751005,1.6378299,2.17065835,1.835667729,1.61096251,1.77654326,1.536374569,1.595977068,1.070923448,1.484982967,1.662635803,1.708244801,1.741170645,1.649234533,1.801091552,2.017832518,1.336070538,0.91312176,0.384703547,0.189989477,0.201524064,0.807967782,1.836637616,2.089933872,1.609732747,1.753779531,2.155620813,1.926131725,1.728985667,1.672413111,1.383498788,1.320260763,1.755860925,1.84711051,1.938190818,1.715260148,2.005558491,2.236649275,2.282570362,1.814821839,0.931652427,0.677500308,0.683323503,0.879288971,2.160553217,2.176465511,1.991690874,1.760462165,1.819235444,1.972297907,1.794538617,1.6247648
5/1/60,1.413967967,1.867080688,1.463583231,1.398304462,1.059871554,1.050776124,1.281130552,1.30821383,0.959580004,1.184316278,1.372492313,1.014990807,1.094848514,1.270600438,1.180956125,1.110736609,0.953522921,1.072362304,1.053204179,0.670633733,0.883962572,1.188267827,1.177850723,0.57295841,0.410989702,0.76528573,0.807635725,0.758473933,0.875012934,0.713523448,0.659009576,1.9540416,1.22332108,0.651811719,0.512179554,0.754422545,0.957764566,1.149738669,1.515901804,0.738699675,0.894227862,1.192646623,1.022018075,0.918394685,0.723047316,0.492969155,0.486830503,0.534803927,0.743239045,0.773965478,0.696865737,1.081048727,2.657088757,2.240675211,1.967690706,1.122636914,0.679051161,0.641001701,0.976463139,1.265244126,1.349625707,0.772597492,0.995411456,1.323092103,1.580050111,1.80752039,1.404322147,1.204111338,1.003979087,0.920929849,1.026950002,0.839881003,0.956227839,1.079985261,1.829014301,2.443630219,2.215176582,1.976121664
6/1/60,1.108790874,1.185104489,0.852850199,0.701842129,0.648317575,0.991901636,1.128593802,0.993682563,0.668306589,0.748058736,0.766616762,0.634211659,0.690283358,0.71225071,0.730772793,0.641174078,0.606457889,1.005899787,1.037253499,0.640255272,0.733788431,0.808585227,0.749964774,0.550419271,0.325521082,0.375419348,0.43377772,0.400892437,0.591658831,0.519058287,0.467481792,0.888275683,0.682861567,0.528398097,0.48416096,0.672556102,0.803311229,1.000185847,1.077819109,0.667409003,0.748093247,0.897580564,0.683840394,0.523769379,0.405728698,0.25524658,0.211625248,0.246432245,0.498330086,0.529356658,0.474856079,0.877983272,0.837475598,0.850441933,1.041137576,0.774933398,0.623418272,0.581261277,0.84920162,1.063679218,1.037764192,0.634724677,0.779805839,0.953977525,0.978832304,0.842432737,0.624458611,0.398661196,0.256817937,0.23789981,0.565816998,0.530389488,0.810698092,0.923835695,0.473549396,0.846295536,0.983157754,1.117945433
7/1/60,1.037681699,1.085016847,0.909219325,0.851616263,0.616497457,0.937927604,0.992801905,0.877373934,0.696116626,0.800047219,0.84232235,0.646205962,0.707945287,0.751911342,0.661105037,0.615936279,0.611055076,0.896091044,0.886628926,0.62384665,0.672115743,0.775865197,0.731789887,0.442733705,0.221742168,0.361543238,0.374642283,0.385497063,0.669897377,0.633594275,0.593681455,2.344443083,1.391688943,0.688362896,0.490249902,0.658053756,0.733763456,0.817627311,0.884660184,0.607310414,0.646573007,0.756393969,0.512651682,0.322176784,0.170936346,0.201301068,0.18568866,0.210716248,0.521762431,0.687276125,0.585332096,0.593606889,2.984444618,2.767577171,2.737200737,1.278960466,0.679791152,0.565929174,0.725395024,0.849135697,0.913129866,0.601646721,0.636013091,0.783424735,0.816165984,0.643804431,0.339440733,0.294433922,0.307808012,0.34234497,0.638434291,0.539997935,0.610670388,0.538597405,2.272856474,2.971609354,2.787950993,2.268892527
8/1/60,2.304220438,2.42291522,2.443239689,2.373483181,2.91808629,2.259405375,2.29159236,2.345528126,2.354197264,2.480524778,2.394945383,2.111069202,2.419897556,2.975437641,3.483347654,3.188299894,3.102590322,2.208753109,2.21696043,2.18802166,2.390962362,2.421518803,2.286206722,1.995637536,1.74415791,2.713086128,3.23234272,3.31449461,3.356007099,3.167479992,3.050202847,2.723357201,2.507388115,2.326335907,2.39812398,2.351074219,2.238593817,2.176012754,2.228752613,2.127796412,2.242951155,2.311177015,1.723508954,1.416823745,1.072465181,1.339479685,1.819391966,2.19011569,2.983220816,3.186911583,2.949986458,3.331644773,2.688875437,2.674743891,2.58418417,2.378049612,2.252549887,2.294132948,2.207281828,2.153400898,2.110360146,2.097817659,2.172986746,2.208398104,1.952782035,1.549966574,0.957379341,1.058788896,1.227258801,1.591707706,2.874458313,2.951199532,3.14094305,3.184474945,2.547488928,2.614204168,2.620889902,2.557958841
9/1/60,4.332891941,4.480904579,3.785055876,3.872835636,6.733587265,4.057890892,4.197225094,3.764718056,3.152766705,3.465199709,3.676563025,3.878341675,5.054327488,6.001763344,6.930325031,6.679939747,6.747579575,3.718818665,3.690901279,2.842864037,3.139191389,3.390646696,3.448067665,3.475765944,2.19922781,4.390951157,5.52347517,5.906948566,6.858978748,6.783027172,6.725402355,3.792036533,3.33358717,3.245554209,3.061329126,3.309302568,3.422718763,3.599667311,3.698660612,2.822405577,3.064687967,3.430429935,3.012443781,2.522357941,1.648122668,2.045354605,2.627357244,3.820254326,6.157949448,7.027658463,6.79501152,6.690103054,3.968093634,4.053451538,3.596707344,3.370919466,3.073321581,3.041906118,3.406016111,3.616183519,3.599472761,2.858368397,3.198340416,3.543879986,3.775117397,3.757541895,2.443271875,2.906790733,3.768465757,4.57625246,7.353482246,7.332441807,7.13193655,6.662453175,3.37644124,4.257139206,3.809937477,3.613869429
